id,khasi,english,part_of_speech,notes,page
4148,Pait syndon,to shatter,Verb,,
4149,Pait lut,completely broken,Adjective,,
4150,Pait paidbah,public partition,Noun,,
4151,Pait,broken,Adjective,,
4152,Pait,fractured,Adjective,,
4153,Pait-bad,disagreement,Noun,,
4154,Pait-bad,quarrel,Noun,,
4155,Pait-dur,to break into pieces,Verb,,
4156,Pait-dur,shattered,Adjective,,
4157,Pait-ia,to separate,Verb,,
4158,Pait-ia,to part company,Verb,,
4159,Pait-jait,clan division,Noun,,
4160,Pait-jait,family branch,Noun,,
4161,Pait-khyndew,land partition,Noun,,
4162,Pait-kur,division of a clan,Noun,,
4163,Pait-lut,completely destroyed,Adjective,,
4164,Pait-lut,utterly ruined,Adjective,,
4165,Pait-noh,to separate completely,Verb,,
4166,Pait-noh,to break away,Verb,,
4167,Pait paidbah,public division,Noun,,
4168,Pait paidbah,division among the people,Noun,,
4169,Pait-phra,to crack open,Verb,,
4170,Pait-phra,to split apart,Verb,,
4171,Pait-ryngkat,equal division,Noun,,
4172,Pait-shnong,division of a village,Noun,,
4173,Pait-synjor,total destruction,Noun,,
4174,Pait-synjor,devastation,Noun,,
4175,Pait-um,water channel,Noun,,
4176,Pak,to clap,Verb,,
4177,Pak,to strike with the palm,Verb,,
4178,Pak-pak,clapping sound,Noun,,
4179,Pak-pak,repeatedly clapping,Adverb,,
4180,Pakdeng,shoulder-blade,Noun,,
4181,Pakha,fan,Noun,,
4182,Pakha,punkah,Noun,,
4183,Pakhlieh,top of the head,Noun,,
4184,Pakhlieh,crown of the head,Noun,,
4185,Pakhniah,to flatten,Verb,,
4186,Pakhniah,to press down,Verb,,
4187,Pakhrup,to cover over,Verb,,
4188,Pakhrup,to wrap up,Verb,,
4189,Pakit,narrow,Adjective,,
4190,Pakit,confined,Adjective,,
4191,Paklong,wide open,Adjective,,
4192,Paklong,expanded,Adjective,,
4193,Paklut,to finish completely,Verb,,
4194,Paklut,to exhaust,Verb,,
4195,Pakma,to slap,Verb,,
4196,Pakma,slap,Noun,,
4197,Pakrang,to throw aside,Verb,,
4198,Pakrang,to cast away,Verb,,
4199,Pakrih,to fold,Verb,,
4200,Pakrih,folded,Adjective,,
4201,Pakshet,to slap lightly,Verb,,
4202,Pakshet,to tap gently,Verb,,
4203,Paksiar,to spread out,Verb,,
4204,Paksiar,to unfold,Verb,,
4205,Paksong,to bend,Verb,,
4206,Paksong,to curve,Verb,,
4207,Paksu,to push,Verb,,
4208,Paksu,to shove,Verb,,
4209,Paksut,to thrust forward,Verb,,
4210,Paksut,to push ahead,Verb,,
4211,Paktad,to strike hard,Verb,,
4212,Paktad,to hit with force,Verb,,
4213,Paktai,broad,Adjective,,
4214,Paktai,spread out,Adjective,,
4215,Paktam,to complete,Verb,,
4216,Paktam,to finish,Verb,,
4217,Pakthiah,to flatten completely,Verb,,
4218,Pakthiah,to level,Verb,,
4219,Pakthung,to heap together,Verb,,
4220,Pakthung,to pile up,Verb,,
4221,Pakut,to tie up,Verb,,
4222,Pakut,to fasten,Verb,,
4223,Pal,to turn over,Verb,,
4224,Pal,to reverse,Verb,,
4225,Palad,to overturn,Verb,,
4226,Palad,to upset,Verb,,
4227,Palai,to return,Verb,,
4228,Palai,to send back,Verb,,
4229,Palam,to proclaim,Verb,,
4230,Palam,to announce publicly,Verb,,
4231,Palat,to exceed,Verb,,
4232,Palat,to go beyond,Verb,,
4233,Palat bor,beyond one's power,Adjective,,
4234,Palat dor,too expensive,Adjective,,
4235,Palat pud,beyond limits,Adjective,,
4236,Palat por,overdue,Adjective,,
4237,Palat shnong,beyond the village,Adverb,,
4238,Palat ri,across the country,Adverb,,
4239,Palat noh,to pass away,Verb,,
4240,Palat syndon,to pass completely,Verb,,
4242,Palei hynrei,why then?,Phrase,,
4243,Pali,turn,Noun,,
4244,Pali,chance,Noun,,
4245,Pali-pali,in turns,Adverb,,
4246,Pali-pali,alternately,Adverb,,
4247,Palieh,to overturn,Verb,,
4248,Palieh,to tip over,Verb,,
4249,Palit,to smear,Verb,,
4250,Palit,to plaster,Verb,,
4251,Palngang,having a round small head,Adjective,,
4252,Palngaw,round and small (of the head),Adjective,,
4253,Pallaw,having sunken eyes,Adjective,,
4254,Pali,one's turn,Noun,,
4255,Palong,bedstead,Noun,,
4256,Palong,soap bubble,Noun,,
4257,*Palwan,athlete,Noun,Hindi loanword,
4258,Pam,to cut,Verb,,
4259,Pam,to win (in gambling),Verb,,
4260,Pamblang,Durga Poojah,Noun,,
4261,Pamthwat,to skirmish,Verb,,
4262,Pamthwat,to fell a number of trees in one place,Verb,,
4263,Pan,to ask,Verb,,
4264,Pan,to demand,Verb,,
4266,Pankhyllong,knot of hair on the head,Noun,,
4267,Pankwah,to wish for what is wrong or bad,Verb,,
4268,Pankwah,to court misfortune,Verb,,
4269,Panjung,bladder,Noun,,
4270,Panpoh,girdle,Noun,,
4271,Panpoh,belt,Noun,,
4272,Pansngiat,crown,Noun,,
4273,Panshandi,very small tortoise,Noun,,
4274,Panshandi-dem-lor-khah,a wife eagerly expecting the return of her profligate husband,Noun,,
4276,Panti,long narrow strip of cloth,Noun,,
4277,Panti,sash,Noun,,
4278,Panti,band,Noun,,
4279,Panti,ribbon,Noun,,
4280,Panti jingïakhun,champion's sash,Noun,,
4281,Pantyllun,wheel-rim,Noun,,
4282,Pantyllun,circular band,Noun,,
4283,Panyiar,broad belt,Noun,,
4284,Panyiar,waist-band,Noun,,
4285,Pap,to flap,Verb,,
4286,Pap,to flutter,Verb,,
4287,Pap-pap,flapping sound,Noun,,
4288,Pap-pap,repeatedly flapping,Adverb,,
4289,Par,side,Noun,,
4290,Par,edge,Noun,,
4291,Par,neighbour,Noun,,
4292,Par,companion,Noun,,
4293,Para,one another,Pronoun,,
4294,Para,each other,Pronoun,,
4295,Para-briew,fellow human being,Noun,,
4296,Para shnong,fellow villager,Noun,,
4297,Para kur,member of the same clan,Noun,,
4298,Para marjan,neighbour,Noun,,
4299,Para paidbah,fellow citizen,Noun,,
4300,Para-para,together,Adverb,,
4301,Para-para,mutually,Adverb,,
4302,Pariang,neighbouring,Adjective,,
4303,Pariang shnong,neighbouring village,Noun,,
4304,Pariang ri,neighbouring country,Noun,,
4305,Parit,trench,Noun,,
4306,Parit,ditch,Noun,,
4307,Parit um,drainage channel,Noun,,
4308,Parit shnong,village trench,Noun,,
4309,Parlong,broadside,Noun,,
4310,Parlong,wide edge,Noun,,
4311,Parmar,equal,Adjective,,
4312,Parmar,alike,Adjective,,
4313,Parmar,equal share,Noun,,
4314,Parmut,mutual agreement,Noun,,
4315,Parmut,common understanding,Noun,,
4316,Paroh,complete,Adjective,,
4317,Paroh,whole,Adjective,,
4318,Parom,border,Noun,,
4319,Parom,boundary,Noun,,
4320,Par shnong,village boundary,Noun,,
4321,Par paidbah,public boundary,Noun,,
4322,Parshnong,fellow villager,Noun,,
4323,Parsyiem,neighbouring chiefdom,Noun,,
4324,Partap,border line,Noun,,
4325,Parti,party,Noun,Political or social group,
4326,Parti,side,Noun,,
4327,Parting,division,Noun,,
4328,Parting,separation,Noun,,
4329,Parum,riverside,Noun,,
4330,Parum,river bank,Noun,,
4331,Pas,to pass,Verb,,
4332,Pas,to succeed in an examination,Verb,,
4333,Pasdor,passport,Noun,,
4334,Pasiaw,to become green,Verb,,
4335,Pasiaw,green,Adjective,,
4336,Pasoh,to bear fruit,Verb,,
4337,Pasoh,fruitful,Adjective,,
4338,Pasuk,to become peaceful,Verb,,
4339,Pasuk,peaceful,Adjective,,
4340,Pat,again,Adverb,,
4341,Pat,also,Adverb,,
4342,Pat,but,Conjunction,,
4343,Pateng,ladder,Noun,,
4344,Pateng,stair,Noun,,
4345,Pathai,to send,Verb,,
4346,Pathai,to dispatch,Verb,,
4347,Pathar,plain,Noun,,
4348,Pathar,level ground,Noun,,
4349,Pathaw,to create,Verb,,
4350,Pathaw,creator,Noun,,
4351,Pathied,to buy,Verb,,
4352,Pathied,purchaser,Noun,,
4353,Pathut,interruption,Noun,,
4354,Pathut,disturbance,Noun,,
4355,Pathymmai,new,Adjective,,
4356,Pathymmai,newly,Adverb,,
4357,Pathynnad,beautiful,Adjective,,
4358,Pathynnad,pleasant,Adjective,,
4359,Pat paidbah,publicly again,Adverb,,
4360,Pat shnong,back to the village,Adverb,,
4361,Pata,licensed liquor shop,Noun,Patta shop; Hindi loanword,
4362,Patan,to pull on both sides,Verb,,
4363,Patar,to tear to pieces with the teeth,Verb,,
4364,Pateng,joint,Noun,,
4365,Pateng,link,Noun,,
4366,Pateng,indirectly; through another source,Adverb,,
4367,Pateng-bynriew,generation,Noun,,
4368,Pateng-pateng,at every interval or stage,Adverb,,
4369,Pateng-la-pateng,from generation to generation,Adverb,,
4370,Pathar,width or stretch of a ford or stream,Noun,,
4371,Pathar,thoughtless,Adjective,,
4372,Pathar,heedless,Adjective,,
4373,Pathat,to snap (a thread),Verb,,
4374,Pathaw,squash gourd,Noun,Hindi kadu,
4375,Pathi,betel,Noun,"Used by Nongkrem, Mylliem and Synteng people",
4376,Patiaw,to give ear to,Verb,Usually used in the negative with ym,
4377,Patiaw,to care,Verb,Usually used in the negative,
4378,Patied,to strike or knock against,Verb,,
4379,Patied,to bully,Verb,,
4380,Patied,to spatter,Verb,,
4381,Patiew,purlin,Noun,,
4382,Patloi,thick brass cooking vessel,Noun,Hindi loanword,
4383,Patlun,pantaloons,Noun,English loanword,
4384,Patlun,trousers,Noun,,
4385,Patch,to hit with a stone or ball after it has touched the ground,Verb,To ricochet,
4386,Patom,to drag by the hair,Verb,,
4387,Pator,officer in the Synteng district next in rank to a Daloi,Noun,Ministerial office,
4388,Patrong,to pull by the hair,Verb,,
4389,Patrong,to clutch by the hair,Verb,,
4390,Patsha,Emperor,Noun,Hindi loanword,
4391,Paw,to seem,Verb,,
4392,Paw,to appear,Verb,,
4393,Paw,to be evident,Verb,,
4394,Pawa,powa; a seer,Noun,Hindi loanword,
4395,Pawang,to swing,Verb,,
4396,Pawang,to swagger,Verb,,
4397,Pawai,unsteadily,Adverb,As of walking or staggering,
4398,Pawbynriew,to be in a tolerably good position,Verb,,
4399,Pawkhmat,to be prominent,Verb,,
4400,Pawkhmat,to be present,Verb,,
4401,Paw-pen-ryngkew,to have the real state of things brought to light,Verb,,
4402,Paw-rong,to be exposed to shame,Verb,,
4403,Pda,to throw to the farthest distance possible,Verb,,
4404,Pda-khar-ei,arrow-shooting competition in which the person who shoots farthest wins all the arrows,Noun,,
4405,Pdang,to crack,Verb,,
4406,Pdam,to come to an end,Verb,,
4407,Pdam,to be over,Verb,,
4408,Pdam,to cease,Verb,,
4409,Pdam,to be disappointed,Verb,,
4410,Pdeng,the middle,Noun,,
4411,Pdem,to steep,Verb,,
4412,Pdem,to incubate,Verb,,
4413,Pdiang,to receive,Verb,,
4414,Pdiang,to accept,Verb,,
4415,Pdiang-Balang,to receive into church membership,Verb,Christian usage,
4416,Pdiet,to open by placing the finger on one side of an aperture,Verb,,
4417,Pdok,bladder of a fish,Noun,,
4418,Pdot,throat,Noun,,
4419,Pdot,Adam's apple,Noun,,
4420,Pdung,circular sieve,Noun,Flat winnowing basket,
4421,Pdung,to blister,Verb,,
4422,Pduh,to strike with a stout or heavy stick on the head,Verb,,
4423,Pduh,to thwack,Verb,,
4424,Peh,to winnow,Verb,,
4425,Peh,not going in a straight line when shot,Adjective,Like a badly winged arrow,
4426,'Peh,spike,Noun,Abbreviation of speh,
4427,'Peh,stake,Noun,,
4428,'Peh-dyngkhiet,porcupine quill,Noun,,
4429,'Peh-sylli,very sharp bamboo spike,Noun,,
4430,'Peh-sylli,ready-witted man,Noun,Figurative usage,
4431,Pel,having a hole,Adjective,,
4432,Pel,to penetrate,Verb,,
4433,Peibylla,to be pierced right through,Verb,,
4434,Peibylla,to pass clean through,Verb,,
4435,Peidohsaw,to be cut to the quick,Verb,,
4436,Peidohsaw,to be cut to the sensitive flesh,Verb,,
4437,Peiñ (ia-),to barter,Verb,,
4438,Peiñ (ia-),to exchange,Verb,,
4439,Peit,to look at,Verb,,
4440,Peit,to gaze,Verb,,
4441,Peit,to be awake,Verb,,
4442,Peitkynriang,to squint,Verb,,
4443,Peitngor,to stay up at night,Verb,,
4444,Peitmat,to be awake,Verb,,
4445,Peitmat,to be conscious,Verb,,
4446,Peitmat,to be healthy,Verb,,
4447,Peitmat,good-looking,Adjective,Person,
4448,Peitmat-dong,to look through the corner of the eye,Verb,,
4449,Peitmat-dong,to look suspiciously,Verb,,
4450,Peitmatlieh,to show the white of the eye,Verb,,
4451,Peitmatlieh,to stare angrily,Verb,,
4452,Peitngor,to keep watch,Verb,,
4453,Peitngor,to watch carefully,Verb,,
4454,Peitjut,to inspect,Verb,,
4455,Peitjut,to examine closely,Verb,,
4456,Peitkai,to look on,Verb,As a spectator,
4457,Peitkai,to watch for amusement,Verb,,
4458,Peitkhmat,to respect,Verb,"Literally ""to look at the face""",
4459,Peitkhmat,to show regard,Verb,,
4460,Peitlyngngoh,to gaze in wonder,Verb,,
4461,Peitlyngngoh,to admire,Verb,,
4462,Peitngor shnong,village watch,Noun,,
4463,Peitngor miet,night watch,Noun,,
4464,Peitngor paidbah,public vigilance,Noun,,
4465,Peitngor-ngor,watchfully,Adverb,,
4466,Peitngor-ngor,vigilantly,Adverb,,
4467,Peitphai,to look back,Verb,,
4468,Peitphai,to glance behind,Verb,,
4469,Peitpyrman,to observe carefully,Verb,,
4470,Peitpyrman,to inspect thoroughly,Verb,,
4471,Peitpyrshah,to look against,Verb,,
4472,Peitpyrshah,to oppose,Verb,Figurative,
4473,Peit shnong,to inspect a village,Verb,,
4474,Peit ri,to inspect a country,Verb,,
4475,Peit paidbah,to appear before the public,Verb,,
4476,Peit sha khmat,to look forward,Verb,,
4477,Peit sha dien,to look back,Verb,,
4478,Peit sha jrong,to look upward,Verb,,
4479,Peit sha trai,to look downward,Verb,,
4480,Peit shiliang,to look sideways,Verb,,
4481,Peitthuh,to recognize,Verb,,
4482,Peitthuh,to identify,Verb,,
4483,Peittynnad,to admire,Verb,,
4484,Peittynnad,to look with pleasure,Verb,,
4485,Pek,to strike,Verb,,
4486,Pek,to knock,Verb,,
4487,Pek-pak,knocking sound,Noun,,
4488,Pek-pak,repeated knocking,Adverb,,
4489,Pem,to press,Verb,,
4490,Pem,to squeeze,Verb,,
4491,Pem paidbah,public pressure,Noun,,
4492,Pem shnong,pressure on a village,Noun,,
4493,Pen,to be visible,Verb,,
4494,Pen,to be distinct,Verb,,
4495,Pen paidbah,publicly visible,Adjective,,
4496,Pen shnong,visible in the village,Adjective,,
4497,Peng,to throw,Verb,,
4498,Peng,to fling,Verb,,
4499,Peng paidbah,to throw before the public,Verb,,
4500,Peng shnong,to throw into a village,Verb,,
4501,Peng,to cast,Verb,,
4502,Peng,to hurl,Verb,,
4503,Peng-khlong,to throw into a pit,Verb,,
4504,Peng-lum,to throw uphill,Verb,,
4505,Peng-maw,to throw a stone,Verb,,
4506,Peng-um,to throw into water,Verb,,
4507,Pengnoh,to throw away,Verb,,
4508,Pengphai,to throw back,Verb,,
4509,Pengrah,to throw upward,Verb,,
4510,Pengryngkew,to throw into the open,Verb,,
4511,Pengshiliang,to throw aside,Verb,,
4512,Pengsyndon,to throw completely away,Verb,,
4513,Peni,to show,Verb,,
4514,Peni,to display,Verb,,
4515,Peni paidbah,public display,Noun,,
4516,Peni shnong,to show to the village,Verb,,
4517,Peni ri,to exhibit to the country,Verb,,
4518,Peni paidbah,to exhibit publicly,Verb,,
4519,Penkhia,to become visible,Verb,,
4520,Penkhia,to appear clearly,Verb,,
4521,Penlang,to spread out visibly,Verb,,
4522,Penlang,to become widely known,Verb,,
4523,Pentuid,to pour out,Verb,,
4524,Pentuid,to flow out,Verb,,
4525,Pentyllun,to roll out,Verb,,
4526,Pentyllun,to unfold,Verb,,
4527,Pep,to slap lightly,Verb,,
4528,Pep,to pat,Verb,,
4529,Pep-pep,patting sound,Noun,,
4530,Pep-pep,repeatedly patting,Adverb,,
4531,Per,to twist,Verb,,
4532,Per,to wind around,Verb,,
4533,Per paidbah,public confusion,Noun,,
4534,Per shnong,village disturbance,Noun,,
4535,Per bynta,entanglement,Noun,,
4536,Perlang,to become tangled together,Verb,,
4537,Perlang,intertwined,Adjective,,
4538,Perphai,to twist back,Verb,,
4539,Pershong,to coil around,Verb,,
4540,Pershong,coiled,Adjective,,
4541,Pet,to be flat,Verb,,
4542,Pet,to flatten,Verb,,
4543,Pet paidbah,flattened publicly,Adjective,,
4544,Pet shnong,flattened in the village,Adjective,,
4545,Pet-pet,completely flat,Adjective,,
4546,Petri,flat land,Noun,,
4547,Petrong,level surface,Noun,,
4548,Petsuk,flattened smoothly,Adjective,,
4549,Petthiah,to flatten completely,Verb,,
4550,Petum,to press into water,Verb,,
4551,Pem-pem,lukewarm,Adverb,Not tasty,
4552,Pen,"number = 80 (of fruits, red pepper, etc.)",Numeral,,
4553,'Pen,wild earth-nut,Noun,Abbreviation of soh-pen,
4554,Pep,to desist from going,Verb,,
4555,Pep,to desist from doing a thing,Verb,,
4556,Per,to float,Verb,,
4557,Per,light,Adjective,,
4558,Per,careless,Adjective,,
4559,Pet,to buy rice,Verb,,
4560,Pet,to buy cereals,Verb,,
4561,'Pet,navel,Noun,Abbreviation of soh-pet,
4562,'Pet-kaw,umbilical hernia,Noun,,
4563,Pha,thou (feminine),Pronoun,,
4564,Pha,to risk,Verb,,
4565,Pha,to jeopardize,Verb,,
4566,Pha,to hazard,Verb,,
4567,Phang,quarter,Noun,,
4568,Phang,side,Noun,,
4569,Phang,allotted part,Noun,,
4570,'Phang-er,a periodical continuous wind towards the end of the cold season,Noun,,
4571,Phah,to send,Verb,,
4572,Phah,to despatch,Verb,,
4573,Phah,to order for,Verb,,
4574,Phahkhot,to send for,Verb,,
4575,Phahkylli,to propose to a girl,Verb,,
4576,Phai,to turn,Verb,,
4577,Phai-kpoh-u-Blei,to favour,Verb,"Literally ""to face God's belly""; to take into favourable consideration",
4578,Phai-khmat,to face,Verb,,
4579,Phai-dien,to turn backwards,Verb,,
4580,Phak,violently,Adverb,e.g. u thap phak ia u mali,
4581,Phalang,to reflect,Verb,,
4582,Phalang,to rebound,Verb,,
4583,Phaliep,slightly inclined,Adjective,,
4584,Phaliep,slightly cut,Adjective,,
4585,Phaloh,to splash over,Verb,,
4586,Phaloh,to spurt,Verb,,
4587,Phaloh,to spill,Verb,,
4588,Phalor,gate,Noun,,
4589,Phalup,to beat with a big stick,Verb,,
4590,Phalup,to hew out roughly,Verb,,
4591,Phan,potato,Noun,,
4592,Phan,household god,Noun,,
4593,Phanang,to fling a stick by holding one end,Verb,,
4594,Phan-karo,white-rind sweet potato,Noun,,
4595,Phan-ew,one who has no fixed opinion of his own,Noun,,
4596,Phan-longsyiem,household deity of a Syiem,Noun,,
4597,Phan-longspah,household god believed to bring wealth,Noun,,
4598,Phan-mluh,sweet potato with dark prickly rind,Noun,,
4599,Phan-mongor,common round potato,Noun,,
4600,Phan-sai,potatoes growing from small leftover tubers after harvest,Noun,,
4601,Phan-sop,sweet potato,Noun,,
4602,Phan-sop,yam-like potato,Noun,,
4603,Phan-thli,potato vine,Noun,,
4604,Phang,to divide,Verb,,
4605,Phang,to apportion,Verb,,
4606,Phang-bynta,to allot a share,Verb,,
4607,Phang-dor,to fix a price,Verb,,
4608,Phang-lang,to divide equally,Verb,,
4609,Phang-noh,to distribute,Verb,,
4610,Phang-ri,territorial division,Noun,,
4611,Phang-shnong,village division,Noun,,
4612,Phang-um,water channel,Noun,,
4613,Phap,to strike with the open hand,Verb,,
4614,Phap,to slap,Verb,,
4615,Phap-phap,slapping sound,Noun,,
4616,Phar,to fly,Verb,,
4617,Phar,to spring away,Verb,,
4618,Phar-ba-phar,scattered in every direction,Adverb,,
4619,Phar-khlaw,jungle fowl,Noun,,
4620,Phar-lum,hill bird,Noun,,
4621,Phari,ferry,Noun,,
4622,Phari,crossing place,Noun,,
4623,Pharkhat,to imagine,Verb,,
4624,Pharkhat,to suppose,Verb,,
4625,Pharla,to spread out,Verb,,
4626,Pharla,to expand,Verb,,
4627,Pharshi,Persian,Noun,,
4628,Pharshi,Persian language,Noun,,
4629,Phat,to burst,Verb,,
4630,Phat,to explode,Verb,,
4631,Phat paidbah,to become publicly known,Verb,,
4632,Phat shnong,to spread through a village,Verb,,
4633,Phat-lut,completely burst,Adjective,,
4634,Phat-phret,shattered,Adjective,,
4635,Phat-ryngkew,burst in the open,Verb,,
4636,Phat-syndon,burst completely,Verb,,
4637,Phe,to change,Verb,,
4638,Phe,to turn into,Verb,,
4639,Phe paidbah,public change,Noun,,
4640,Phe shnong,change of village,Noun,,
4641,Phe-ri,migration,Noun,,
4642,Phe-mut,to change one's mind,Verb,,
4643,Phe-rong,to change colour,Verb,,
4644,Phe-kti,to change hands,Verb,,
4645,Phe-noh,to change away,Verb,,
4646,Phe-phai,to turn back,Verb,,
4647,Phe-shiliang,to turn sideways,Verb,,
4648,Phe-lyngba,to change over,Verb,,
4649,Phe-suk,to become calm,Verb,,
4650,Phe-eh,to become difficult,Verb,,
4651,Phei,to slip,Verb,,
4652,Phei,to glide,Verb,,
4653,Phei paidbah,public change,Noun,,
4654,Phei shnong,transfer to another village,Noun,,
4655,Phei ri,migration,Noun,,
4656,Phei mut,to change one's mind,Verb,,
4657,Phei rong,to change colour,Verb,,
4658,Phei noh,to move away,Verb,,
4659,Phei phai,to turn back,Verb,,
4660,Phei syndon,to change completely,Verb,,
4661,Phek,to throw,Verb,,
4662,Phek,to cast,Verb,,
4663,Phek shnong,to throw into the village,Verb,,
4664,Phek ri,to throw across the country,Verb,,
4665,Phek paidbah,to throw before the public,Verb,,
4666,Phek maw,to throw a stone,Verb,,
4667,Phek um,to throw into water,Verb,,
4668,Phek noh,to throw away,Verb,,
4669,Phek phai,to throw back,Verb,,
4670,Phek syndon,to throw away completely,Verb,,
4671,Phem,to swell,Verb,,
4672,Phem,swollen,Adjective,,
4673,Phem shnong,swelling in the village,Noun,,
4674,Phem paidbah,public swelling,Noun,,
4675,Phem briew,swelling of the body,Noun,,
4676,Phem doh,swelling of the flesh,Noun,,
4677,Phem khlieh,swelling of the head,Noun,,
4678,Phem kjat,swelling of the foot,Noun,,
4679,Phem kti,swelling of the hand,Noun,,
4680,Phem met,bodily swelling,Noun,,
4681,Phen,to borrow,Verb,,
4682,Phen,loan,Noun,,
4683,Phen pisa,to borrow money,Verb,,
4684,Phen shnong,village loan,Noun,,
4685,Phen paidbah,public loan,Noun,,
4686,Phen bynta,borrowed share,Noun,,
4687,Phen noh,to lend away,Verb,,
4688,Phen phai,to borrow back,Verb,,
4689,Phen pat,to borrow again,Verb,,
4690,Phen suk,easy loan,Noun,,
4691,Pher,to be different,Verb,,
4692,Pher,different,Adjective,,
4693,Pher bynta,distinction,Noun,,
4694,Pher jait,difference in kind,Noun,,
4695,Pher shnong,from another village,Adjective,,
4696,Pher ri,foreign,Adjective,,
4697,Pher paidbah,publicly different,Adjective,,
4698,Pher noh,to separate,Verb,,
4699,Pher phai,to return separately,Verb,,
4700,Pher syndon,to separate completely,Verb,,
4701,Pher,brilliantly,Adverb,Also used as an intensifier,
4702,Pher,very,Adverb,e.g. ka bneng ka la shai bha pher,
4703,Phet,to run,Verb,,
4704,Phet-kiri,alum,Noun,Hindi loanword,
4705,Phet-iap,to fly for life,Verb,,
4706,Phet-iap,to flee for one's life,Verb,,
4707,Phet-lyndet,to go away without taking leave,Verb,,
4708,Phet-thong,to run a race,Verb,,
4709,Phew,ten,Numeral,"Used in compounds (e.g. shiphew = 10, arphew = 20)",
4710,Phewse,to my surprise,Adverb,,
4711,Phngain,clear,Adjective,Not misty,
4712,Phngar,extremely,Adverb,Intensifier,
4713,Phngit,flying cinders,Noun,,
4714,Phngit,small floating particles,Noun,,
4715,Phngoit,to peep so that only the head is visible,Verb,,
4716,Phnguid,to eat gluttonously,Verb,,
4717,Phi,you,Pronoun,Second person,
4718,Phiak,exactly at the centre,Adverb,At the part aimed at,
4719,Phiang,brass plate,Noun,,
4720,Phiang-phiang,greenish bird with a crest,Noun,,
4721,Phiang-phiang,to arrange and tie grass into bundles for roofing,Verb,,
4722,Phiangshai,porcelain plate,Noun,,
4723,Phiah,to split,Verb,,
4724,Phiah,to cleave,Verb,,
4725,Phiah bynta,to divide into parts,Verb,,
4726,Phiah paidbah,public division,Noun,,
4727,Phiah shnong,division of a village,Noun,,
4728,Phiah ri,partition of a country,Noun,,
4729,Phiah noh,to split apart,Verb,,
4730,Phiah syndon,to split completely,Verb,,
4731,Phiep,to be level,Verb,,
4732,Phiep,even,Adjective,,
4733,Phiep,smooth,Adjective,,
4734,Phieng,to lean,Verb,,
4735,Phieng,to incline,Verb,,
4736,Phieng,slanting,Adjective,,
4737,Phik,to crumble,Verb,,
4738,Phik,to break into small pieces,Verb,,
4739,Phil,to return,Verb,,
4740,Phil,to come back,Verb,,
4741,Phil shnong,to return to the village,Verb,,
4742,Phil ri,to return to one's country,Verb,,
4743,Phil noh,to return again,Verb,,
4744,Phil pat,to return once more,Verb,,
4745,Phil paidbah,public return,Noun,,
4746,Phim,to fit,Verb,,
4747,Phim,suitable,Adjective,,
4748,Phim bynta,suitable share,Noun,,
4749,Phim shnong,suitable for the village,Adjective,,
4750,Phim ri,suitable for the country,Adjective,,
4752,Phinlah,you will be able,Phrase,,
4753,Phir,to turn around,Verb,,
4754,Phir,to revolve,Verb,,
4755,Phir paidbah,public turning,Noun,,
4756,Phir shnong,village circuit,Noun,,
4757,Phit,to press tightly,Verb,,
4758,Phit,to compress,Verb,,
4759,Phit-phit,tightly,Adverb,,
4760,Phit-phit,closely packed,Adverb,,
4761,Phoh,to peel,Verb,,
4762,Phoh,to shell,Verb,,
4763,Phoh soh,to peel fruit,Verb,,
4764,Phoh paidbah,public stripping,Noun,,
4765,Phoh shnong,to strip a village,Verb,,
4766,Phon,to call,Verb,,
4767,Phon,to summon,Verb,,
4768,Phong,to cover,Verb,,
4769,Phong,to wrap,Verb,,
4770,Phong shnong,to cover the village,Verb,,
4771,Phong ri,to cover the country,Verb,,
4772,Phong paidbah,public covering,Noun,,
4773,Phong noh,to cover completely,Verb,,
4774,Phong syndon,to wrap up entirely,Verb,,
4775,Phor,to bore,Verb,,
4776,Phor,to drill,Verb,,
4777,Phor maw,to drill stone,Verb,,
4778,Phor dieng,to bore wood,Verb,,
4779,Phor shnong,to drill through,Verb,,
4780,Phot,to photograph,Verb,Modern loanword,
4781,Phot,cutting,Adjective,,
4782,Phot,sharp,Adjective,,
4783,Phot,to get an intertrigo,Verb,,
4784,Phra,eight,Numeral,,
4785,Phrak-phrak,straightforwardly,Adverb,"e.g. an honest, frank person",
4786,Phrang,front,Noun,,
4787,Phrang,to temper iron,Verb,,
4788,Phrang,to test,Verb,,
4789,Phrangsngi,beginning,Noun,,
4790,Phrangsngi,the first,Noun,,
4791,Phrah,plaited bamboo work,Noun,,
4792,Phrah,to obstruct a doorway with cross-sticks,Verb,,
4793,Phreit,small migratory bird destructive to paddy and maize,Noun,,
4794,Phret,to be broken into pieces,Verb,,
4795,Phret,to be crushed into powder,Verb,,
4796,Phrew,to play with a small bundle of sticks,Verb,,
4797,Phrew,scattered in all directions,Adverb,,
4798,Phria,hailstone,Noun,,
4799,Phriang,to spread out,Verb,,
4800,Phriang,to scatter,Verb,,
4801,Phrieh,to feel nervous,Verb,,
4802,Phrieh,to feel feverish,Verb,,
4803,Phrod,foppish,Adjective,,
4804,Phrong,fat left after oil has been extracted by frying,Noun,,
4805,Phroh,to feed (as a mother bird feeds its young),Verb,,
4806,Phroh-jyndem,hoopoe,Noun,,
4807,Phroi,to crush into powder,Verb,,
